dataset_id,program_id,lineage,n_program_genes,n_detected,coverage,coverage_tier,missing_genes
GSE256398_human,RAM2019_ENDO_1,endothelial,80,77,0.9625,primary,GPX1;SDPR;SEPP1
GSE256398_human,RAM2019_ENDO_2,endothelial,45,43,0.9555555555555556,primary,ATP5E;ECSCR.1
GSE256398_human,RAM2019_ENDO_3,endothelial,39,38,0.9743589743589743,primary,WBP5
GSE256398_human,RAM2019_ENDO_4,endothelial,88,85,0.9659090909090909,primary,C8ORF4;PLA2G16;SDPR
GSE256398_human,RAM2019_ENDO_5,endothelial,50,48,0.96,primary,PRKCDBP;PTRF
GSE256398_human,RAM2019_ENDO_6_SAENDO1,endothelial,12,12,1.0,primary,
GSE256398_human,RAM2019_ENDO_7_SAENDO2,endothelial,56,56,1.0,primary,
GSE256398_human,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,66,62,0.9393939393939394,primary,C10ORF11;RP11-467L13.7;RP11-472N13.3;RP11-796E2.4
GSE256398_human,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,679,651,0.9587628865979382,primary,ATP5D;ATP5E;ATP5G2;ATP5I;ATP5J2;ATP5L;C10ORF54;C14ORF2;C19ORF43;C20ORF24;C6ORF48;C7ORF73;CCDC109B;CTD-3252C9.4;FAM26F;FYB;GLTSCR2;GNB2L1;MYEOV2;RARRES3;RP5-1171I10.5;RTFDC1;SELK;SELT;SEPT2;SEPT6;SEPT9;TCEB2
GSE256398_human,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,332,324,0.9759036144578314,primary,CCL3L3;CECR1;FAM198B;GPX1;LINC00998;MESDC1;SEPP1;TMEM2
GSE256398_human,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,330,266,0.806060606060606,primary,APITD1;C1ORF233;CCBL2;CCDC163P;CPSF3L;CYR61;FAM159A;FAM213B;FAM69A;FLJ27354;FLJ37453;FO538757.2;FPGT-TNNI3K;KIAA1107;NPPA-AS1;PQLC2;RP1-125I3.2;RP1-187B23.1;RP1-202O8.3;RP1-224A6.3;RP1-43E13.2;RP11-108M9.4;RP11-108M9.6;RP11-1143G9.4;RP11-206L10.9;RP11-242F24.1;RP11-244H3.4;RP11-31F15.2;RP11-345P4.7;RP11-345P4.9;RP11-426L16.3;RP11-475O6.1;RP11-486G15.2;RP11-547D24.1;RP11-54O7.1;RP11-54O7.17;RP11-70P17.1;RP11-96K19.5;RP3-395M20.12;RP3-395M20.8;RP3-395M20.9;RP4-549L20.3;RP4-561L24.3;RP4-594I10.3;RP4-635E18.7;RP4-635E18.8;RP4-669L17.10;RP4-706G24.1;RP4-758J18.13;RP4-773N10.4;RP4-798A10.2;RP4-798A10.7;RP4-799D16.1;RP5-1092A3.4;RP5-1092A3.5;RP5-1115A15.1;RP5-1180E21.4;RP5-832C2.5;RP5-892K4.1;RSG1;SLC35E2;TCEB3-AS1;TMEM56;TP73-AS1
GSE256398_human,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,269,254,0.9442379182156134,primary,ADRBK1;AIM1;CTB-61M7.2;CTC-479C5.12;CTD-2006K23.1;FAM45A;FAM65B;KIAA0922;LINC00936;LINC01272;RP11-1008C21.1;RP11-362F19.1;RP11-83A24.2;RP6-159A1.4;ZCCHC6
GSE256398_human,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,130,122,0.9384615384615385,primary,AC093673.5;AES;C10ORF128;C3ORF58;CTB-113D17.1;FAM60A;KIAA0226L;METTL12
GSE256398_human,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,5,4,0.8,primary,LHFP
GSE256398_human,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,444,426,0.9594594594594594,primary,AC004556.1;ATP5E;C14ORF2;C20ORF24;C7ORF73;CCDC109B;CH17-360D5.2;FAM96A;GNB2L1;GPX1;LINC00162;MESDC2;PLA2G16;PVRL2;RARRES3;RP11-420N3.2;SEPP1;WBP5
GSE256398_human,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,140,138,0.9857142857142858,primary,CYR61;WBP5
GSE256398_human,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,22,22,1.0,primary,
GSE256398_human,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,47,39,0.8297872340425532,primary,C8ORF4;HLA+AC0-A;HLA+AC0-B;HLA+AC0-C;HLA+AC0-DPA1;HLA+AC0-DRB1;HLA+AC0-DRB5;SEP-04
GSE256398_human,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,59,59,1.0,primary,
